Date,ADR,Occupancy
2019-11-14,128.332516,50.5263906
2019-11-15,129.6355054,51.5077854
2019-11-16,128.9791651,52.085621
2019-11-17,127.6029617,54.9796029
2019-11-18,128.2060855,49.3183576
2019-11-19,127.9413834,53.4593998
2019-11-20,128.1835725,48.2973964
2019-11-21,127.3544783,49.0611195
2019-11-22,128.1244468,51.1081986
2019-11-23,127.5878929,56.6625472
2019-11-24,128.4031873,50.848651
2019-11-25,127.849259,48.4252345
2019-11-26,129.4827641,49.0392628
2019-11-27,129.9316611,51.1966467
2019-11-28,129.4707292,52.2874114
2019-11-29,125.7373571,60.2046261
2019-11-30,126.69432,59.6118213
2019-12-01,125.6639174,53.7472542
2019-12-02,125.3253461,51.4090003
2019-12-03,124.4012296,46.6985648
2019-12-04,124.706425,42.683183
2019-12-05,124.7525463,47.7226236
2019-12-06,127.3420164,54.3382559
2019-12-07,127.4317117,53.5402189
2019-12-08,123.9033418,45.8088208
2019-12-09,123.9894222,37.6536412
2019-12-10,124.2432536,57.0484294
2019-12-11,125.2610365,56.2160545
2019-12-12,125.7791771,56.3611466
2019-12-13,128.8841789,59.2180604
2019-12-14,130.7099732,57.7113226
2019-12-15,128.2433927,65.4124678
2019-12-16,129.1399803,59.0887915
2019-12-17,143.2264734,58.2885209
2019-12-18,139.3105059,55.7783452
2019-12-19,139.2226654,59.7395342
2019-12-20,143.4642645,60.8749115
2019-12-21,148.2099137,63.2924451
2019-12-22,147.8623166,67.533365
2019-12-23,147.1323452,72.2494922
2019-12-24,149.736044,77.160238
2019-12-25,152.8090332,81.9237336
2019-12-26,152.0991247,78.8127112
2019-12-27,151.9974057,78.5507307
2019-12-28,158.1480103,78.7053493
2019-12-29,154.9982657,78.968492
2019-12-30,155.0373956,77.1656149
2019-12-31,156.7874888,79.9473399
2020-01-01,156.3044225,79.7820071
2020-01-02,153.551215,75.6321063
2020-01-03,148.7977117,78.4104563
2020-01-04,149.1754868,72.9214754
2020-01-05,148.7010582,61.7986324
2020-01-06,146.2812975,67.401938
2020-01-07,144.6442939,66.4999369
2020-01-08,144.1590583,67.7863638
2020-01-09,143.6548352,65.8574532
2020-01-10,143.490093,58.6229147
2020-01-11,143.0777776,65.4745675
2020-01-12,141.8377145,67.0971188
2020-01-13,142.1575979,64.9591595
2020-01-14,141.5500603,64.3552754
2020-01-15,142.1939927,67.3911231
2020-01-16,142.0369925,56.6472418
2020-01-17,143.0016654,65.0435368
2020-01-18,142.4963593,66.2447124
2020-01-19,140.9923958,64.1937085
2020-01-20,139.8567778,64.1873367
2020-01-21,139.4686351,59.0946675
2020-01-22,139.3271702,54.2337145
2020-01-23,139.4544118,50.1095516
2020-01-24,139.6136039,60.0635083
2020-01-25,142.0472891,62.6313109
2020-01-26,139.3335741,64.4013824
2020-01-27,138.5012112,56.4543207
2020-01-28,136.7211715,53.7483739
2020-01-29,135.9353985,52.3652259
2020-01-30,133.6886575,52.6755861
2020-01-31,134.6706651,41.8873042
2020-02-01,132.4445956,53.3177267
2020-02-02,128.9755451,51.4194488
2020-02-03,128.7690019,53.4651646
2020-02-04,132.5232923,51.2438576
2020-02-05,134.3166865,50.6403173
2020-02-06,134.5102534,53.2685713
2020-02-07,135.7926158,52.3575552
2020-02-08,135.1518806,54.933571
2020-02-09,133.2094413,53.7862083
2020-02-10,133.3289278,52.1885227
2020-02-11,133.2373486,48.99246
2020-02-12,131.8284372,54.2916898
2020-02-13,132.3453633,56.0159711
2020-02-14,132.3928934,61.1159286
2020-02-15,132.2469996,60.9092626
2020-02-16,130.4678804,57.4065836
2020-02-17,130.0398487,54.9456038
2020-02-18,127.4967504,54.3631876
